제목,카테고리,경도,위도,추가정보
화도읍 맷돌로 110-9,업로드,127.30247,37.657284,단속일시:2026-01-16 14:55:21;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572835;_GPS_Y:127.302470
화도읍 맷돌로 110-9,업로드,127.302526,37.657289,단속일시:2026-01-30 10:11:20;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572893;_GPS_Y:127.302526
화도읍 맷돌로 110-9,업로드,127.302508,37.657292,단속일시:2026-02-20 15:02:06;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572920;_GPS_Y:127.302508
화도읍 맷돌로 114,업로드,127.303047,37.657238,단속일시:2026-02-25 14:44:34;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572380;_GPS_Y:127.303047
화도읍 맷돌로 110-9,업로드,127.302812,37.657241,단속일시:2026-01-31 10:08:39;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572410;_GPS_Y:127.302812
화도읍 맷돌로 114,업로드,127.302845,37.657249,단속일시:2026-01-30 10:10:42;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572486;_GPS_Y:127.302845
화도읍 맷돌로 110-9,업로드,127.302791,37.657244,단속일시:2026-02-04 14:10:36;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572443;_GPS_Y:127.302791
화도읍 맷돌로 114,업로드,127.303035,37.657257,단속일시:2026-03-10 14:10:43;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572570;_GPS_Y:127.303035
화도읍 맷돌로 114,업로드,127.302891,37.657229,단속일시:2026-02-19 14:46:22;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572290;_GPS_Y:127.302891
화도읍 맷돌로 110-9,업로드,127.302862,37.657229,단속일시:2026-02-26 14:30:59;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572290;_GPS_Y:127.302862
화도읍 맷돌로 114,업로드,127.302878,37.65723,단속일시:2026-03-05 14:03:40;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572300;_GPS_Y:127.302878
